price,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3
379900,2,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1976.0,"Garage, Detached Garage",1553.0,,Poured Concrete,Detached,,Full (Finished),B4C3,B4C
499900,3,3,4,Single Family,Row / Townhouse,2,Middle Sackville,Freehold,under 1/2 acre,2015.0,"Garage, Attached Garage",1738.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,,B4E0,B4E
489000,2,3,2,Single Family,Duplex,2,Musquodoboit Harbour,Freehold,under 1/2 acre,1979.0,Gravel,1730.0,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Up and down,,,B0J2,B0J
599900,3,3,2,Single Family,House,1,Springfield,Freehold,1 - 3 acres,2010.0,"Garage, Detached Garage, Gravel",2133.0,"None, Central Vacuum",Poured Concrete,Detached,Character,,B0R1,B0R
189900,4,4,1,Single Family,House,2,Canning,Freehold,under 1/2 acre,,,1792.0,"Stove, Dryer, Washer, Refrigerator",Stone,Detached,,Crawl space,B0P1,B0P
399900,2,2,2,Single Family,House,1,Bedford,Freehold,1/2 - 1 acre,1952.0,,851.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator","Concrete Block, Poured Concrete",Detached,Character,,B4A2,B4A
324900,2,2,2,Single Family,House,1,Cambridge,Freehold,under 1/2 acre,2013.0,"Garage, Attached Garage, Gravel, Covered",1049.0,"Stove, Dishwasher, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,Character,None,B0P1,B0P
499900,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1997.0,,2168.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B3M4,B3M
869900,4,4,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1925.0,"Garage, Detached Garage",2262.0,"Stove, Dishwasher, Dryer, Washer, Freezer, Microwave, Refrigerator",Poured Concrete,Detached,,,B3H3,B3H
299900,3,3,1,Single Family,House,2,Eastern Passage,Freehold,under 1/2 acre,,"Garage, Detached Garage",1344.0,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),A1A1,A1A
446000,3,3,2,Single Family,House,1,Williamswood,Freehold,1 - 3 acres,2019.0,,1784.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Hot Tub",Concrete Slab,Detached,,None,B3V1,B3V
525000,3,3,4,Single Family,House,2,Beaver Bank,Freehold,1/2 - 1 acre,2005.0,,2594.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4G1,B4G
639900,3,3,2,Single Family,House,2,Cambridge,Freehold,1/2 - 1 acre,2001.0,"Garage, Attached Garage",3632.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Cape Cod,Full (Partially finished),B0P1,B0P
750000,2,4,4,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,2014.0,"Garage, Attached Garage",2494.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Character,,B3A0,B3A
244900,2,2,1,Single Family,House,1,Lower South River,Freehold,under 1/2 acre,1963.0,Gravel,1536.0,,Poured Concrete,Detached,Character,,B2G2,B2G
89900,2,2,1,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,825.0,"Range - Electric, Dryer, Washer, Refrigerator",Concrete Block,Detached,Character,Crawl space,B2H3,B2H
790000,2,2,2,Single Family,House,2,Louis Head,Freehold,10 - 49 acres,,"Garage, Detached Garage, Gravel",1780.0,"Range, Dishwasher, Dryer, Washer, Freezer - Stand Up, Refrigerator",Stone,Detached,,Crawl space,B0T1,B0T
450000,4,4,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1976.0,"Garage, Attached Garage",1982.0,,Poured Concrete,Detached,,,B2V1,B2V
499900,3,3,3,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1996.0,"Garage, Attached Garage",1902.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,3 Level,,B4A3,B4A
499900,3,3,2,Single Family,House,1,Hubley,Freehold,under 1/2 acre,1980.0,Gravel,1795.0,,Poured Concrete,Detached,Character,,B3Z4,B3Z
798000,3,3,2,Single Family,House,2,Leminster,Freehold,50 - 100 acres,1922.0,Gravel,1400.0,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Refrigerator","Poured Concrete, Stone",Detached,,Crawl space,B0N2,B0N
599000,4,5,6,Single Family,House,2,Kingston,Freehold,under 1/2 acre,2007.0,"Garage, Detached Garage",4064.0,"Central Vacuum, Cooktop - Propane, Dishwasher, Dryer, Washer, Freezer - Stand Up",Poured Concrete,Detached,,Full (Finished),B0P1,B0P
